model,w1,NLL,AIC,BIC,mean,phi1,phi2,bootstrap
mixture,0.005250000000000003,7073362.320433885,14146730.64086777,14146766.047970468,21.88538323329903,0.0012534744462521727,0.056210012656315526,boot_1
mixture,0.005500000000000003,7073372.607215646,14146751.214431291,14146786.62153399,22.53941202838034,0.0012526358232190305,0.05479740206640633,boot_1
mixture,0.005000000000000003,7073385.963580883,14146777.927161766,14146813.334264465,21.22043395531587,0.0012544021299993355,0.05773313150211375,boot_1
mixture,0.005750000000000003,7073412.698856256,14146831.397712512,14146866.80481521,23.182975818732494,0.0012518776484913316,0.053483414451346696,boot_1
mixture,0.0047500000000000025,7073448.44514261,14146902.89028522,14146938.297387918,20.543914722190575,0.0012554093902569087,0.05938143637987781,boot_1
mixture,0.006000000000000004,7073479.098023071,14146964.196046142,14146999.60314884,23.816527557815615,0.0012511960163752202,0.052257712258594574,boot_1
mixture,0.004500000000000002,7073555.661471799,14147117.322943598,14147152.730046296,19.855499983443426,0.0012565046803047983,0.061170680301909815,boot_1
mixture,0.006250000000000004,7073568.815404411,14147143.630808823,14147179.037911521,24.440494307734674,0.0012505869469207058,0.05111135766277849,boot_1
mixture,0.006500000000000004,7073679.276777091,14147364.553554183,14147399.960656881,25.0552472348472,0.0012500471643802852,0.05003665636777137,boot_1
mixture,0.004250000000000002,7073714.767995038,14147435.535990076,14147470.943092775,19.15430000104528,0.0012576928682632323,0.06312164193665544,boot_1
mixture,0.006750000000000004,7073808.250206693,14147622.500413386,14147657.907516085,25.661163994150016,0.0012495725037863202,0.04902682655368773,boot_1
mixture,0.004000000000000002,7073934.543151229,14147875.086302457,14147910.493405156,18.43966516807291,0.0012589764511904264,0.06525806633113801,boot_1
mixture,0.0070000000000000045,7073953.788487328,14147913.576974656,14147948.984077355,26.258990090232118,0.0012491495904869059,0.048075112993630986,boot_1
mixture,0.007250000000000005,7074114.183229293,14148234.366458585,14148269.773561284,26.848552630079624,0.0012487877883155824,0.04717738230634174,boot_1
mixture,0.0037500000000000016,7074225.882610861,14148457.765221722,14148493.17232442,17.710675970012765,0.0012603580788315923,0.06760961095686822,boot_1
mixture,0.007500000000000005,7074287.927952947,14148581.855905894,14148617.263008593,27.430396246606847,0.001248478159364611,0.046328533704834925,boot_1
mixture,0.007750000000000005,7074473.688107082,14148953.376214163,14148988.783316862,28.004797442410737,0.001248216542970747,0.0455245358567221,boot_1
mixture,0.0035000000000000014,7074602.479737149,14149210.959474297,14149246.366576996,16.966221875128152,0.001261841582118372,0.07021315015570742,boot_1
mixture,0.008000000000000005,7074670.276548209,14149346.553096417,14149381.960199116,28.572200410542365,0.0012479976552985286,0.044761440560775245,boot_1
