model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.005,5933108.696977516,11866223.393955031,24.142049006059338,0.001178675680751921,0.05,boot_1
mixture,0.01,5933499.411835658,11867004.823671317,30.915537421117794,0.0013712370575739378,0.04190857161359993,boot_1
mixture,0.015,5938947.040908325,11877900.08181665,39.56544881155328,0.0013863401575097609,0.0342661215902596,boot_1
mixture,0.02,5944463.632404963,11888933.264809925,47.038553378962206,0.0014044700319789877,0.02987959150341218,boot_1
mixture,0.025,5949656.362349808,11899318.724699616,53.77422984618977,0.0014220789450591317,0.026937918099011245,boot_1
mixture,0.05,5970426.344791322,11940858.689582644,81.50794501939599,0.0014948496184277462,0.01976705486146476,boot_1
mixture,0.07500000000000001,5985379.265803752,11970764.531607503,103.94197355894954,0.0015506754096918857,0.016643889371826967,boot_1
mixture,0.10000000000000002,5996998.871003981,11994003.742007961,123.4135108592759,0.001596951730395073,0.014804041240055278,boot_1
mixture,0.12500000000000003,6006488.371590724,12012982.743181448,140.8666127661502,0.001637052032412399,0.013563820911192594,boot_1
mixture,0.15000000000000002,6014499.48512902,12029004.97025804,156.81470102479153,0.0016727143307275546,0.012660095440673832,boot_1
mixture,0.17500000000000004,6021423.515486485,12042853.03097297,171.5791986264195,0.0017049914808511945,0.011967033721699615,boot_1
mixture,0.20000000000000007,6027513.82446943,12055033.64893886,185.38324392193317,0.0017345106063451036,0.011416022918033003,boot_1
mixture,0.22500000000000003,6032943.99225301,12065893.98450602,198.39406395568392,0.0017617280129693475,0.01096513735141337,boot_1
mixture,0.25000000000000006,6037838.246064778,12075682.492129557,210.73026580070484,0.0017870156545535798,0.010588401895607173,boot_1
mixture,0.2750000000000001,6042288.628952711,12084583.257905422,222.4915770019326,0.0018106062886660956,0.0102678491023026,boot_1
mixture,0.3000000000000001,6046365.285444173,12092736.570888346,233.7546944017571,0.001832702166884594,0.009991154139538438,boot_1
mixture,0.32500000000000007,6050122.931550021,12100251.863100043,244.5824021489699,0.0018534818635370517,0.009749158836452334,boot_1
mixture,0.3500000000000001,6053605.092157747,12107216.184315493,255.0233150020423,0.0018730894598584698,0.009535510686267321,boot_1
mixture,0.3750000000000001,6056846.972045575,12113699.94409115,265.1205595244114,0.001891641099769594,0.009345096429662478,boot_1
mixture,0.4000000000000001,6059877.458295549,12119760.916591099,274.90851302814053,0.001909241679399912,0.009174136674712468,boot_1
mixture,0.4250000000000001,6062720.552183626,12125447.104367252,284.42008390492464,0.0019259696731396545,0.009019322134392832,boot_1
mixture,0.4500000000000001,6065396.4160901,12130798.8321802,293.6801882428663,0.0019419429807247817,0.008877624804399709,boot_1
mixture,0.47500000000000014,6067922.150579668,12135850.301159335,302.7030954567513,0.001957139398428041,0.00874971758510115,boot_1
mixture,0.5000000000000002,6070312.3897188995,12140630.779437799,311.52079756471335,0.001971675826158137,0.008631193765412977,boot_1
null,,6101577.148183032,12203156.296366064,459.57000842174034,0.0021759470410921927,,boot_1
sum,,6134824.0361062875,12269650.072212575,650.0736054141456,0.003076574688378326,,boot_1
mixture,0.005,5932446.69373726,11864899.38747452,24.133226527566812,0.0011811321618250175,0.05,boot_2
mixture,0.01,5932868.197952879,11865742.395905757,30.836531331906855,0.0013760473695141793,0.04200372241111726,boot_2
mixture,0.015,5938365.225819588,11876736.451639175,39.44721640903772,0.0013915339731913885,0.03435917206746818,boot_2
mixture,0.02,5943916.2911690585,11887838.582338117,46.881433018528625,0.0014099745230000049,0.02997237077513641,boot_2
mixture,0.025,5949134.975485468,11898275.950970937,53.58009183249271,0.001427814434597632,0.027030163694968825,boot_2
mixture,0.05,5969974.081391108,11939954.162782216,81.16200384665491,0.0015010597087521424,0.019852795503740406,boot_2
mixture,0.07500000000000001,5984952.8662951905,11969911.732590381,103.49024196396417,0.001556874605704828,0.016721862238972752,boot_2
mixture,0.10000000000000002,5996581.544821244,11993169.089642487,122.88643912071655,0.0016029949039266462,0.014875244059225795,boot_2
mixture,0.12500000000000003,6006072.048790681,12012150.097581362,140.28963735513327,0.0016428564588195074,0.013628721112657205,boot_2
