model,w1,NLL,AIC,BIC,mean,phi1,phi2
mixture,0.005250000000000003,6456059.777240696,12912125.554481393,12912160.780115426,20.823678601352736,0.0013573765072840284,0.05866681362817403
mixture,0.005000000000000003,6456075.135814132,12912156.271628264,12912191.497262297,20.195132587012004,0.00135845406298405,0.0602501630446885
mixture,0.005500000000000003,6456077.506153844,12912161.012307689,12912196.237941721,21.441858529202584,0.0013564050710487999,0.05719783209451053
mixture,0.005750000000000003,6456124.196593204,12912254.393186407,12912289.61882044,22.05022465645678,0.0013555199637927007,0.05583067679846655
mixture,0.0047500000000000025,6456128.506709645,12912263.01341929,12912298.239053322,19.55581532526986,0.001359631951405095,0.06196215874757229
mixture,0.006000000000000004,6456196.362950001,12912398.725900002,12912433.951534035,22.649177573512407,0.0013547327934777538,0.05455465536580887
mixture,0.004500000000000002,6456225.820625178,12912457.641250355,12912492.866884388,18.905095484689415,0.0013609191590121044,0.06382021162860446
mixture,0.006250000000000004,6456291.037585407,12912588.075170813,12912623.300804846,23.23893778696884,0.0013540386390472675,0.053361100183263316
mixture,0.004250000000000002,6456374.287342041,12912754.574684082,12912789.800318114,18.24261329768874,0.001362301598623885,0.06584388334127632
mixture,0.006500000000000004,6456405.675407962,12912817.350815924,12912852.576449957,23.819912842751226,0.0013534290619699107,0.05224191458937444
mixture,0.006750000000000004,6456538.078879046,12913082.157758093,12913117.383392125,24.39245179736855,0.0013529107750092984,0.0511899854888381
mixture,0.004000000000000002,6456582.760170032,12913171.520340065,12913206.745974097,17.567381288100123,0.0013637902300181995,0.06805891843654499
mixture,0.0070000000000000045,6456686.3387088375,12913378.677417675,12913413.903051708,24.956796914838353,0.0013524682842072256,0.05019949672785506
mixture,0.007250000000000005,6456848.786397031,12913703.572794061,12913738.798428094,25.513298732529023,0.0013521068181244422,0.049264820658587845
mixture,0.0037500000000000016,6456862.22833261,12913730.45666522,12913765.682299253,16.87845250417532,0.0013653974158944265,0.0704960404598486
mixture,0.007500000000000005,6457023.956181952,12914053.912363904,12914089.137997936,26.062381847304792,0.0013518045437711358,0.04838102117325511
mixture,0.007750000000000005,6457210.554102059,12914427.108204119,12914462.333838152,26.604118882661382,0.0013515778326547033,0.04754414000515795
mixture,0.0035000000000000014,6457226.491445668,12914458.982891336,12914494.208525369,16.174978098137498,0.0013671054711284474,0.0731922765868115
mixture,0.008000000000000005,6457407.432859685,12914820.86571937,12914856.091353403,27.138902680709165,0.0013514075416309241,0.046750225845591645
mixture,0.008250000000000006,6457613.571045874,12915233.142091747,12915268.36772578,27.66693298708696,0.0013512982586832009,0.04599592408807391
mixture,0.003250000000000001,6457693.098122,12915392.196244,12915427.421878032,15.455197611458498,0.0013689503084499271,0.07619762822044181
mixture,0.008500000000000006,6457828.056019702,12915662.112039404,12915697.337673437,28.18848084499961,0.0013512447211050924,0.04527813967049053
mixture,0.008750000000000006,6458050.069606408,12916106.139212815,12916141.364846848,28.703871535177182,0.001351236224984002,0.044594013683208554
mixture,0.009000000000000006,6458278.876075795,12916563.75215159,12916598.977785623,29.213215544045106,0.0013512766534264672,0.04394123647427088
mixture,0.003000000000000001,6458284.676354893,12916575.352709785,12916610.578343818,14.717332651773546,0.0013709486745453333,0.07957496005913128
mixture,0.009250000000000006,6458513.812040511,12917033.624081021,12917068.849715054,29.71682761748446,0.001351358957490325,0.04331740985778882
mixture,0.009500000000000007,6458754.277833182,12917514.555666365,12917549.781300398,30.214869626180562,0.0013514779285487748,0.042720614260024506
mixture,0.009750000000000007,6458999.730140813,12918005.460281625,12918040.685915658,30.707509441929798,0.0013516361372154376,0.04214900619186862
mixture,0.0027500000000000007,6459030.858573009,12918067.717146019,12918102.942780051,13.958916720563927,0.0013731421340522877,0.0834085333448103
mixture,0.010000000000000007,6459249.675693084,12918505.351386167,12918540.5770202,31.194777542639073,0.0013518446916462752,0.041601046813899624
mixture,0.0025000000000000005,6459971.134998508,12919948.269997016,12919983.495631048,13.176695787595257,0.0013756019709433563,0.08781343530066095
mixture,0.0022500000000000003,6461159.20198404,12922324.40396808,12922359.629602114,12.366284623799581,0.0013784498726838357,0.09295215955123616
mixture,0.002,6462669.807499218,12925345.614998436,12925380.840632468,11.521859998751822,0.0013818782553364083,0.09906145231288858
mixture,0.05,6496505.446692688,12993016.893385377,12993052.11901941,84.82908829594061,0.0014240449106176173,0.01910783080252645
mixture,0.1,6523656.191317351,13047318.382634701,13047353.608268734,131.46318168697115,0.0014887400329243253,0.013998568759926366
mixture,0.15000000000000002,6541747.46847323,13083500.93694646,13083536.162580492,169.4785417281964,0.0015400029550219649,0.011793085804473632
mixture,0.2,6555340.603288726,13110687.206577452,13110722.432211485,202.26031263976603,0.001584153520721443,0.010524941658570475
mixture,0.25,6566222.123779798,13132450.247559596,13132485.473193629,231.42325410814897,0.001623135566894951,0.009689874515748573
mixture,0.3,6575279.850269449,13150565.700538898,13150600.92617293,257.91221875464305,0.0016580251170117356,0.009093971853036292
mixture,0.35000000000000003,6583022.399752006,13166050.799504012,13166086.025138045,282.3600992666494,0.0016894939209810603,0.008643907643064372
mixture,0.4,6589769.8675111635,13179545.735022327,13179580.96065636,305.1835329357499,0.001718169996927167,0.008289846364567218
mixture,0.45,6595737.529678796,13191481.059357593,13191516.284991626,326.7277090306561,0.0017442035783938753,0.008002292750501431
mixture,0.5,6601077.480232967,13202160.960465934,13202196.186099967,347.17508564634716,0.0017682268570079615,0.007763259262287576
