model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.009500000000000007,1951310.496920783,3902626.993841566,25.575388757126092,0.001724408807649592,0.04936147951445142,boot_1
mixture,0.009250000000000006,1951311.716896301,3902629.433792602,25.12087361983994,0.0017257098811137889,0.05013724015943865,boot_1
mixture,0.009750000000000007,1951312.39416326,3902630.78832652,26.025127444851414,0.0017232149799840557,0.04862008171516952,boot_1
mixture,0.009000000000000006,1951316.2780201652,3902638.5560403303,24.661484472784483,0.0017271168474694335,0.05094987878415292,boot_1
mixture,0.010000000000000007,1951317.2028912061,3902640.4057824123,26.47024832072605,0.001722119099691229,0.04791068516640085,boot_1
mixture,0.008750000000000006,1951324.4245243084,3902654.849048617,24.196865463647587,0.0017286602818518508,0.05180259392537997,boot_1
mixture,0.008500000000000006,1951336.4234070333,3902678.8468140666,23.72726493915673,0.0017303194311208134,0.0526976599810672,boot_1
mixture,0.008250000000000006,1951352.5672143989,3902711.1344287978,23.25220963027642,0.0017321101795027736,0.053639325683375115,boot_1
mixture,0.008000000000000005,1951373.1773124782,3902752.3546249564,22.771562986737756,0.0017340495431222285,0.05463131266635115,boot_1
mixture,0.007750000000000005,1951398.607678954,3902803.215357908,22.285265463026672,0.001736140709870585,0.05567762652528101,boot_1
mixture,0.007500000000000005,1951429.249329955,3902864.49865991,21.79300819682697,0.001738396590014606,0.05678343910774462,boot_1
mixture,0.007250000000000005,1951465.535524148,3902937.071048296,21.294637487054143,0.0017408290274714285,0.057954034003673376,boot_1
mixture,0.0070000000000000045,1951507.9478984587,3903021.8957969174,20.78976299301104,0.0017434562523024686,0.059196114206276636,boot_1
mixture,0.006750000000000004,1951557.0237406304,3903120.0474812607,20.27874539004463,0.0017462649810205885,0.06051475416869981,boot_1
mixture,0.006500000000000004,1951613.364647355,3903232.72929471,19.760657127030683,0.001749309527496458,0.06191996642210148,boot_1
mixture,0.006250000000000004,1951677.6469221096,3903361.2938442193,19.235578956026558,0.001752580201563673,0.06341975254077495,boot_1
mixture,0.006000000000000004,1951750.634063398,3903507.268126796,18.703078530719054,0.0017561109642775814,0.06502495897436683,boot_1
mixture,0.005750000000000003,1951833.1919498753,3903672.3838997507,18.16294606538461,0.001759912662825954,0.06674727817451191,boot_1
mixture,0.005500000000000003,1951926.3073524926,3903858.614704985,17.61497847460949,0.001763996996799683,0.0686001193121941,boot_1
mixture,0.005250000000000003,1952031.110729726,3904068.221459452,17.058656880944525,0.0017684043628471422,0.07060032309020366,boot_1
mixture,0.005000000000000003,1952148.904504685,3904303.80900937,16.493510397305,0.0017731698439006787,0.07276742115536775,boot_1
mixture,0.0047500000000000025,1952281.1985011615,3904568.397002323,15.919149781112033,0.0017783223888585041,0.07512401949468557,boot_1
mixture,0.004500000000000002,1952429.7548178108,3904865.5096356217,15.335050988917763,0.001783901963586879,0.07769761651379274,boot_1
