model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.004000000000000002,3976423.7215452692,7952853.4430905385,18.70271722751173,0.0012288076141049097,0.0644763311878875,boot_1
mixture,0.0037500000000000016,3976434.796881888,7952875.593763776,17.99010964815338,0.0012293367595478573,0.06668480935094741,boot_1
mixture,0.004250000000000002,3976452.4272810756,7952910.854562151,19.40110929469778,0.0012283015264345932,0.06246453010681597,boot_1
mixture,0.0035000000000000014,3976494.3054501503,7952994.610900301,17.26252391785868,0.0012298439950466306,0.06912154146482684,boot_1
mixture,0.004500000000000002,3976514.1369449575,7953034.273889915,20.08621707225797,0.0012278215140333467,0.06062289304175167,boot_1
mixture,0.0047500000000000025,3976603.4737395253,7953212.947479051,20.75842854994569,0.0012274039795466933,0.05893073077513881,boot_1
mixture,0.003250000000000001,3976613.4459815696,7953232.891963139,16.51876663573272,0.0012303024764397188,0.07182676056858199,boot_1
mixture,0.005000000000000003,3976716.1203500316,7953438.240700063,21.418315629904065,0.001227057157521261,0.05737011091343599,boot_1
mixture,0.003000000000000001,3976806.932034719,7953619.864069438,15.757025143652225,0.001230694223344818,0.07485335320741499,boot_1
mixture,0.005250000000000003,3976848.5706651174,7953703.141330235,22.0662933463031,0.001226792440879498,0.05592617652532631,boot_1
mixture,0.005500000000000003,3976997.946748262,7954001.893496524,22.70277161122991,0.0012266202289094217,0.05458615288540512,boot_1
mixture,0.0027500000000000007,3977094.4189020135,7954194.837804027,14.975350151935924,0.001230970177955657,0.07826884833098023,boot_1
mixture,0.005750000000000003,3977161.8624201203,7954329.724840241,23.328053947975746,0.0012265411805267874,0.05333937944719387,boot_1
mixture,0.006000000000000004,3977338.320547606,7954682.641095212,23.94263557505952,0.0012265567147246377,0.05217603251828662,boot_1
mixture,0.0025000000000000005,3977502.6608460774,7955011.321692155,14.170358642691205,0.0012311475198977817,0.08216820076942616,boot_1
mixture,0.006250000000000004,3977525.634970765,7955057.26994153,24.546850412830977,0.001226666718275675,0.0510879695760578,boot_1
mixture,0.006500000000000004,3977722.3706122194,7955450.741224439,25.14096432471817,0.001226872095660879,0.05006818914975249,boot_1
mixture,0.006750000000000004,3977927.297115614,7955860.594231228,25.725618740013722,0.001227159965862184,0.04910973711474967,boot_1
mixture,0.0022500000000000003,3978068.871476906,7956143.742953812,13.33776620610169,0.001231244979770841,0.0866828731633597,boot_1
mixture,0.0070000000000000045,3978139.352604815,7956284.70520963,26.300917306521736,0.0012275327736096017,0.04820757651767194,boot_1
mixture,0.007250000000000005,3978357.6151304794,7956721.230260959,26.867314258174268,0.0012279847331368627,0.04735649833727101,boot_1
mixture,0.007500000000000005,3978581.2799359392,7957168.5598718785,27.424994220984512,0.0012285164893567966,0.04655237985996507,boot_1
mixture,0.007750000000000005,3978809.6412163004,7957625.282432601,27.974812314968087,0.0012290985691397439,0.04579042319694545,boot_1
mixture,0.002,3978846.1441175933,7957698.288235187,12.471329311168299,0.0012313619184080049,0.09200606106042825,boot_1
mixture,0.008000000000000005,3979042.077304784,7958090.154609568,28.516510688239272,0.0012297547617741071,0.045068070632803714,boot_1
mixture,0.008250000000000006,3979278.038619828,7958562.077239656,29.05070272886353,0.0012304672781776839,0.04438167825391907,boot_1
mixture,0.008500000000000006,3979517.037679468,7959040.075358936,29.57771731183751,0.0012312207887003124,0.043728499174434894,boot_1
mixture,0.008750000000000006,3979758.6408269014,7959523.281653803,30.09776272611648,0.001232023824553752,0.04310602121492065,boot_1
mixture,0.009000000000000006,3980002.4612975493,7960010.922595099,30.611071100634884,0.001232877396027977,0.042511981694122736,boot_1
