,model,w1,NLL,AIC,mean,phi1,phi2
30,mixture,0.009500000000000007,1950987.9275513045,3901981.855102609,25.61206170799325,0.0017247856397584606,0.04926848148774036
31,mixture,0.009750000000000007,1950988.051727352,3901982.103454704,26.06502527315213,0.0017234809094507086,0.048522948495564794
29,mixture,0.009250000000000006,1950990.9405209366,3901987.8810418732,25.154378904766375,0.00172619767998758,0.0500485442393331
32,mixture,0.010000000000000007,1950991.1074480994,3901988.214896199,26.513387665308052,0.0017222782518942128,0.047809630859342735
28,mixture,0.009000000000000006,1950997.314416621,3902000.628833242,24.69189060269937,0.0017277214438946888,0.050865593971008344
27,mixture,0.008750000000000006,1951007.2933167857,3902020.5866335714,24.224185853203956,0.0017293737522575815,0.05172310108592857
26,mixture,0.008500000000000006,1951021.1440460726,3902048.288092145,23.751619524453968,0.0017311457881273769,0.05262298464467217
25,mixture,0.008250000000000006,1951039.1589819076,3902084.3179638153,23.273608012693856,0.0017330528280675502,0.05356982087384482
24,mixture,0.008000000000000005,1951061.659323104,3902129.318646208,22.79013591822112,0.0017351083136710205,0.054567039088971196
23,mixture,0.007750000000000005,1951088.9988883499,3902183.9977766997,22.301066033204616,0.001737316518212934,0.05561888549835932
22,mixture,0.007500000000000005,1951121.5685504565,3902249.137100913,21.80611787397993,0.0017396905428273424,0.05673047393418963
21,mixture,0.007250000000000005,1951159.8014469966,3902325.6028939933,21.30515133326368,0.0017422411778782306,0.05790708122993175
20,mixture,0.0070000000000000045,1951204.179121784,3902414.358243568,20.79802896488209,0.0017449776846453044,0.059154620260541614
19,mixture,0.006750000000000004,1951255.2387967338,3902516.4775934676,20.284352115803078,0.0017479189779038124,0.06048061625374526
18,mixture,0.006500000000000004,1951313.5820454503,3902633.1640909007,19.763979038560045,0.0017510777125576715,0.06189267884264543
17,mixture,0.006250000000000004,1951379.8851652716,3902765.770330543,19.236713194426606,0.0017544675215533463,0.06339964172276695
16,mixture,0.006000000000000004,1951454.9116734501,3902915.8233469003,18.70213765265481,0.0017581172835371228,0.06501237831121445
15,mixture,0.005750000000000003,1951539.52746364,3903085.05492728,18.160061892312193,0.0017620362806962209,0.06674255786902132
14,mixture,0.005500000000000003,1951634.7192863156,3903275.438572631,17.6102722789528,0.0017662378478705812,0.06860367061449273
13,mixture,0.005250000000000003,1951741.6174951065,3903489.234990213,17.052248693443428,0.0017707624488891784,0.07061262517840851
12,mixture,0.005000000000000003,1951861.5242542522,3903729.0485085044,16.48551913465084,0.0017756455447669657,0.07278903227742974
11,mixture,0.0047500000000000025,1951995.9488836955,3903997.897767391,15.909758564565893,0.0017809095729632277,0.0751552822800385
10,mixture,0.004500000000000002,1952146.6526138326,3904299.305227665,15.324285012453052,0.0017866025668694383,0.0777398033038292
9,mixture,0.004250000000000002,1952315.705989966,3904637.411979932,14.72873304303635,0.0017927770288930975,0.08057462393607388
8,mixture,0.004000000000000002,1952505.5636014906,3905017.127202981,14.122291612088707,0.0017994770000930016,0.08370153378010385
7,mixture,0.0037500000000000016,1952719.1628601975,3905444.325720395,13.504232269304026,0.0018067762727832209,0.08717079952212817
6,mixture,0.0035000000000000014,1952960.0571432537,3905926.1142865075,12.873776712026638,0.001814745902291425,0.09104504135525614
5,mixture,0.003250000000000001,1953232.5988935793,3906471.1977871587,12.230059471909598,0.0018234601430923466,0.09540346531127547
4,mixture,0.003000000000000001,1953542.4628176074,3907090.925635215,11.609757167407878,0.0018295391900877548,0.1
3,mixture,0.0027500000000000007,1953969.9958761255,3907945.991752251,11.513940569493164,0.0017840454276509786,0.1
2,mixture,0.0025000000000000005,1954613.389570902,3909232.779141804,11.417570004083816,0.0017330181501921385,0.1
1,mixture,0.0022500000000000003,1955545.6434926025,3911097.286985205,11.3205474154232,0.0016752945384962564,0.1
0,mixture,0.002,1956873.1335644936,3913752.2671289872,11.222748966421282,0.0016093354764634047,0.1
33,mixture,0.05,1957854.3514460532,3915714.7028921065,73.4447095252539,0.0017915707369020306,0.02086250492547619
34,mixture,0.1,1964761.2040538916,3929528.408107783,110.17429434490478,0.0019056322772040724,0.015598387139891794
35,mixture,0.15000000000000002,1969646.3453329878,3939298.6906659757,138.6236650791139,0.001993787407593587,0.013409062051773031
36,mixture,0.2,1973389.7833280768,3946785.5666561536,162.66258702406293,0.002065231086242992,0.012154152833037501
37,mixture,0.25,1976408.6121364282,3952823.2242728565,183.89717792515137,0.0021250987144283257,0.01131980060620027
38,mixture,0.3,1978927.4122174117,3957860.8244348234,203.15546612025378,0.002176550239071961,0.010716034321195457
39,mixture,0.35000000000000003,1981080.6506929419,3962167.3013858837,220.93579533122335,0.002221590112191439,0.01025382446667914
40,mixture,0.4,1982955.220139126,3965916.440278252,237.56111267772144,0.0022615867182940335,0.009885633376090375
41,mixture,0.45,1984610.5292896386,3969227.0585792772,253.2544363082541,0.002297515832433775,0.009583431693764983
42,mixture,0.5,1986088.9914790564,3972183.982958113,268.17727341814,0.002330087658568548,0.00932956413115113
