,model,w1,NLL,AIC,mean,phi1,phi2
8,mixture,0.004000000000000002,3975434.5214779223,7950875.042955845,18.718820982619256,0.001228708257786912,0.06441028223083477
7,mixture,0.0037500000000000016,3975436.113353437,7950878.226706874,18.006006891323736,0.001229214929655538,0.06661527246331014
9,mixture,0.004250000000000002,3975472.136388747,7950950.272777494,19.41743397449987,0.0012282198592369253,0.062401527444888236
6,mixture,0.0035000000000000014,3975485.478297595,7950976.95659519,17.278040835942605,0.001229712568560411,0.06904867972362962
10,mixture,0.004500000000000002,3975542.2507711304,7951090.501542261,20.10267237524473,0.001227760543241684,0.06056287560620259
5,mixture,0.003250000000000001,3975593.708798073,7951193.417596146,16.533972403398735,0.0012301517752365437,0.07174981447876243
11,mixture,0.0047500000000000025,3975639.5450440953,7951285.0900881905,20.774985527901972,0.001227365711642289,0.05887343356001024
12,mixture,0.005000000000000003,3975759.7491755793,7951525.498351159,21.434864969889432,0.0012270403597443328,0.057315604221929536
4,mixture,0.003000000000000001,3975775.386330985,7951556.77266197,15.771839430418774,0.0012305255713085687,0.07477206458939954
13,mixture,0.005250000000000003,3975899.396496151,7951804.792992302,22.082901467824996,0.0012267937541430914,0.05587399086724266
3,mixture,0.0027500000000000007,3976050.0016320567,7952106.003264113,14.989773134254595,0.0012307823513762375,0.07818243909392764
14,mixture,0.005500000000000003,3976055.6422938197,7952117.284587639,22.71934691462489,0.001226641152169159,0.05453630758026858
15,mixture,0.005750000000000003,3976226.1286734403,7952458.257346881,23.344642518604093,0.0012265820259532794,0.05329150682185087
16,mixture,0.006000000000000004,3976408.882822287,7952823.765644574,23.95916068932113,0.0012266183240718083,0.05213014150401695
2,mixture,0.0025000000000000005,3976444.1042674594,7952894.208534919,14.184410405655525,0.0012309343987067707,0.08207557512564673
17,mixture,0.006250000000000004,3976602.2397091803,7953210.479418361,24.56331285583442,0.0012267476361063603,0.051043888078270816
18,mixture,0.006500000000000004,3976804.7827816065,7953615.565563213,25.1572475222358,0.0012269797894197112,0.050025965287150205
1,mixture,0.0022500000000000003,3976994.6554195974,7953995.310839195,13.351517957513757,0.0012309961816671276,0.08658220907981869
19,mixture,0.006750000000000004,3977015.2980771232,7954036.5961542465,25.741940340955054,0.0012272769795868106,0.04906886633316397
20,mixture,0.0070000000000000045,3977232.7383305454,7954471.476661091,26.317172078668335,0.0012276666597019778,0.04816811148547847
21,mixture,0.007250000000000005,3977456.1947186072,7954918.3894372145,26.883448579946098,0.001228136709376116,0.04731843085912425
22,mixture,0.007500000000000005,3977684.874359292,7955375.748718584,27.441479740962958,0.0012286648221768578,0.04651480477396175
0,mixture,0.002,3977754.4443318313,7955514.888663663,12.484931199467809,0.0012310584023426923,0.09189422151832463
23,mixture,0.007750000000000005,3977918.0821917765,7955842.164383553,27.990882648598557,0.00122927799360389,0.04575454766754512
24,mixture,0.008000000000000005,3978155.206421027,7956316.412842054,28.53257880856978,0.0012299442628705163,0.04503314584326611
25,mixture,0.008250000000000006,3978395.706469116,7956797.412938232,29.06672254843903,0.0012306663424093672,0.04434773298946988
26,mixture,0.008500000000000006,3978639.103146264,7957284.206292528,29.59353352431721,0.0012314419252100319,0.04369563022997473
27,mixture,0.008750000000000006,3978884.970450713,7957775.940901426,30.113503277390176,0.0012322594672293226,0.04307399302172308
28,mixture,0.009000000000000006,3979132.9286957365,7958271.857391473,30.626832041676465,0.00123312217929924,0.042480619211716274
29,mixture,0.009250000000000006,3979382.638723734,7958771.277447468,31.13371132972822,0.0012340126165449436,0.04191372845551203
30,mixture,0.009500000000000007,3979633.796995282,7959273.593990564,31.63422993629952,0.0012349600753048244,0.04137137687800764
31,mixture,0.009750000000000007,3979886.1313756183,7959778.262751237,32.12933559019388,0.0012358954696448639,0.04085136026893165
32,mixture,0.010000000000000007,3980139.3975414126,7960284.795082825,32.618211919343516,0.0012368964483615962,0.04035305128174915
33,mixture,0.05,4010011.7219987176,8020029.443997435,85.11000760431142,0.0013714280842437036,0.0195265685535429
34,mixture,0.1,4029418.317551231,8058842.635102462,129.73763246501477,0.00146651412695024,0.014622561862967284
35,mixture,0.15000000000000002,4041865.7113657747,8083737.4227315495,165.84884360963142,0.0015358292177342356,0.012466681993369597
36,mixture,0.2,4051011.432274014,8102028.864548028,196.97007431943717,0.0015925610773592591,0.011206648750964585
37,mixture,0.25,4058217.6475989055,8116441.295197811,224.6756852459319,0.0016411769536323311,0.010366850927623796
38,mixture,0.3,4064144.077793801,8128294.155587602,249.88878145455786,0.0016837700743111141,0.009760561394495597
39,mixture,0.35000000000000003,4069161.629861317,8138329.259722634,273.1863798778861,0.0017217003092391651,0.009299135869493163
40,mixture,0.4,4073500.1306908866,8147006.261381773,294.98031427332506,0.0017558105497064577,0.00893318383613369
41,mixture,0.45,4077312.0969753917,8154630.193950783,315.5328145335251,0.001786832527684968,0.008635507796530014
42,mixture,0.5,4080704.033768404,8161414.067536808,335.075609912966,0.0018151726477009483,0.008386487118303067
