model,w1,NLL,AIC,BIC,mean,phi1,phi2,distribution,iteration
mixture,0.45,191.41753870667907,388.83507741335814,394.57114642964257,17.420000674162846,0.057405280001457316,0.057405278297471045,geom,0
mixture,0.4,191.4175387066791,388.8350774133582,394.5711464296426,17.420000489588464,0.05740528130175067,0.057405278586341285,geom,0
mixture,0.004500000000000002,191.41753870667912,388.83507741335825,394.5711464296427,17.420001174577905,0.05740527770736014,0.0574052774138935,geom,0
mixture,0.25,191.41753870667912,388.83507741335825,394.5711464296427,17.42000101635256,0.057405279961131365,0.05740527726178891,geom,0
mixture,0.5,191.41753870667912,388.83507741335825,394.5711464296427,17.420000693880613,0.05740527899928759,0.05740527899928759,geom,0
mixture,0.0022500000000000003,191.41753870667915,388.8350774133583,394.57114642964274,17.42000119174435,0.05740527802589901,0.05740527735713966,geom,0
mixture,0.005000000000000003,191.41753870667915,388.8350774133583,394.57114642964274,17.420001059183388,0.0574052782328545,0.05740527779328339,geom,0
mixture,0.009250000000000006,191.41753870667915,388.8350774133583,394.57114642964274,17.420001248791916,0.05740527687270687,0.05740527717343351,geom,0
mixture,0.3,191.41753870667915,388.8350774133583,394.57114642964274,17.420000962853635,0.0574052709919434,0.05740528116477198,geom,0
mixture,0.35000000000000003,191.41753870667915,388.8350774133583,394.57114642964274,17.420000757056453,0.05740528124778952,0.057405277468267374,geom,0
mixture,0.008500000000000006,191.41753870667918,388.83507741335836,394.5711464296428,17.420001296102065,0.057405276310295995,0.0574052770207867,geom,0
mixture,0.1,191.41753870667918,388.83507741335836,394.5711464296428,17.420001058527415,0.05740528098941398,0.057405277443001716,geom,0
mixture,0.0027500000000000007,191.41753870667918,388.83507741335836,394.5711464296428,17.420001234425882,0.057405276871757734,0.057405277218947885,geom,0
mixture,0.004250000000000002,191.41753870667918,388.83507741335836,394.5711464296428,17.420001278813427,0.057405277549779865,0.05740527706967949,geom,0
mixture,0.007750000000000005,191.41753870667918,388.83507741335836,394.5711464296428,17.420001339916062,0.057405277594576365,0.0574052768647079,geom,0
mixture,0.002,191.41753870667918,388.83507741335836,394.5711464296428,17.420001256461813,0.05740527774417855,0.05740527714417666,geom,0
mixture,0.05,191.41753870667918,388.83507741335836,394.5711464296428,17.420001466394172,0.05740527530457919,0.05740527651404608,geom,0
mixture,0.15000000000000002,191.41753870667918,388.83507741335836,394.5711464296428,17.42000115278976,0.057405281061081656,0.05740527685629624,geom,0
mixture,0.2,191.41753870667918,388.83507741335836,394.5711464296428,17.420001046785636,0.05740528001160826,0.05740527729251844,geom,0
mixture,0.009750000000000007,191.4175387066792,388.8350774133584,394.57114642964285,17.420001505940217,0.05740527619089897,0.05740527632455722,geom,0
mixture,0.008250000000000006,191.4175387066792,388.8350774133584,394.57114642964285,17.420001311794742,0.05740527649627269,0.05740527696691723,geom,0
mixture,0.005250000000000003,191.4175387066792,388.8350774133584,394.57114642964285,17.420001291278297,0.057405278523225765,0.0574052770227662,geom,0
mixture,0.0070000000000000045,191.4175387066792,388.8350774133584,394.57114642964285,17.420001357631136,0.057405277514407445,0.05740527680703512,geom,0
mixture,0.006750000000000004,191.4175387066792,388.8350774133584,394.57114642964285,17.42000147134527,0.05740527730145777,0.057405276431384065,geom,0
mixture,0.008750000000000006,191.4175387066792,388.8350774133584,394.57114642964285,17.420001445527024,0.05740527606664777,0.05740527652636011,geom,0
mixture,0.005500000000000003,191.4175387066792,388.8350774133584,394.57114642964285,17.42000134146457,0.05740527793816635,0.05740527685932787,geom,0
mixture,0.005750000000000003,191.4175387066792,388.8350774133584,394.57114642964285,17.420001455597532,0.05740527806221888,0.05740527648005417,geom,0
mixture,0.008000000000000005,191.4175387066792,388.8350774133584,394.57114642964285,17.420001374290262,0.05740527647323928,0.057405276759377934,geom,0
mixture,0.006000000000000004,191.4175387066792,388.8350774133584,394.57114642964285,17.420001484787417,0.05740527758977448,0.057405276385736045,geom,0
mixture,0.0025000000000000005,191.4175387066792,388.8350774133584,394.57114642964285,17.420001452744504,0.05740527682280097,0.05740527649774075,geom,0
mixture,0.004000000000000002,191.4175387066792,388.8350774133584,394.57114642964285,17.420001339951646,0.05740527565965514,0.05740527687510893,geom,0
mixture,0.003000000000000001,191.41753870667924,388.8350774133585,394.5711464296429,17.420001258036443,0.05740527745335987,0.057405277139245335,geom,0
mixture,0.003250000000000001,191.41753870667924,388.8350774133585,394.5711464296429,17.420001355423945,0.057405276836802424,0.05740527681920303,geom,0
mixture,0.0037500000000000016,191.41753870667924,388.8350774133585,394.5711464296429,17.420001481337984,0.05740527552669283,0.05740527640763093,geom,0
mixture,0.009500000000000007,191.41753870667924,388.8350774133585,394.5711464296429,17.42000127102244,0.057405277756045585,0.057405277091076866,geom,0
mixture,0.009000000000000006,191.41753870667924,388.8350774133585,394.5711464296429,17.420001250642958,0.05740527762615246,0.057405277160359786,geom,0
mixture,0.007250000000000005,191.41753870667924,388.8350774133585,394.5711464296429,17.420001435212487,0.057405276560218065,0.05740527655629939,geom,0
mixture,0.006500000000000004,191.41753870667924,388.8350774133585,394.5711464296429,17.4200013164058,0.05740527684550909,0.057405276948508804,geom,0
mixture,0.006250000000000004,191.41753870667927,388.83507741335853,394.57114642964297,17.420001362744863,0.05740527636804863,0.05740527679782121,geom,0
