model,w1,NLL,AIC,BIC,mean,phi1,phi2,distribution,iteration
mixture,0.009000000000000006,6679.526949940739,13365.053899881477,13379.777165718424,108.75435718716098,0.0005,0.010919585909867443,mixture,0
mixture,0.010000000000000007,6681.812301060196,13369.624602120392,13384.347867957338,78.85917957689365,0.0009195594330260243,0.014562162830516673,mixture,0
mixture,0.009750000000000007,6683.1634271874545,13372.326854374909,13387.050120211856,77.78195164499415,0.0009170337944631949,0.014746869219342455,mixture,0
mixture,0.008250000000000006,6684.467642140719,13374.935284281439,13389.658550118385,103.20008925844708,0.0005,0.011438857889103905,mixture,0
mixture,0.25,6690.438006076449,13386.876012152898,13401.599277989844,155.02650110693378,0.0025621329948904707,0.013054477926325204,mixture,0
mixture,0.008750000000000006,6694.843539216809,13395.687078433619,13410.410344270565,61.941837471662,0.0011225851451865372,0.01830653566287484,mixture,0
mixture,0.008500000000000006,6698.40681993321,13402.81363986642,13417.536905703366,58.1833462395086,0.0011853353809449228,0.019436458365837468,mixture,0
mixture,0.009500000000000007,6700.544873077015,13407.08974615403,13421.813011990977,21.70183973097742,0.002138111085864683,0.0573914592562901,mixture,0
mixture,0.008000000000000005,6700.581028215691,13407.162056431382,13421.885322268328,57.66897331780911,0.001131097180811685,0.01960621755568766,mixture,0
mixture,0.009250000000000006,6701.407529643751,13408.815059287503,13423.53832512445,21.08364885119316,0.0021599949325326003,0.05896889201678638,mixture,0
mixture,0.007500000000000005,6703.659976977193,13413.319953954386,13428.043219791332,56.82833925397124,0.001087188631725264,0.01987790365751396,mixture,0
mixture,0.007750000000000005,6704.009943126052,13414.019886252105,13428.743152089051,53.97968896130531,0.0011885952773860735,0.020907349644411283,mixture,0
mixture,0.007250000000000005,6709.062047937121,13424.124095874242,13438.847361711189,16.44297394565357,0.0023305917825927405,0.07446271305330539,mixture,0
mixture,0.0070000000000000045,6710.04187254494,13426.08374508988,13440.807010926826,14.867992452443966,0.0024112240359981034,0.08299273568155084,mixture,0
mixture,0.006750000000000004,6710.954846899663,13427.909693799325,13442.632959636272,13.768897509901326,0.0024644077606988312,0.09005065816102459,mixture,0
mixture,0.006500000000000004,6711.826623869394,13429.653247738788,13444.376513575735,12.881863325077195,0.002505346233210955,0.09657434193893753,mixture,0
mixture,0.006250000000000004,6712.670756226435,13431.34151245287,13446.064778289816,12.119530599999532,0.0025390717684213348,0.10289396193430077,mixture,0
mixture,0.006000000000000004,6713.496067345111,13432.992134690223,13447.71540052717,11.439679224944879,0.002568109378118121,0.10919081093403937,mixture,0
mixture,0.005750000000000003,6714.309069979896,13434.618139959792,13449.341405796738,10.820030988722202,0.0025936883071612394,0.11556866166066553,mixture,0
