obs_start,obs_end,length,iteration,ind_idx,distribution
3075830,3075830,1,0,44141,geom
6436648,6436648,1,0,47936,geom
6746322,6746322,1,0,47936,geom
5942505,5942505,1,0,97495,geom
6609104,6609104,1,0,23985,geom
9876293,9876293,1,0,24105,geom
945671,945671,1,0,41736,geom
8396902,8396902,1,0,17792,geom
4977807,4977807,1,0,15545,geom
6938227,6938227,1,0,55202,geom
4960650,4960650,1,0,55202,geom
324855,324855,1,0,109578,geom
2959444,2959444,1,0,119395,geom
2408930,2408930,1,0,40787,geom
2306773,2306773,1,0,79681,geom
740313,740313,1,0,124925,geom
6434367,6434367,1,0,75090,geom
2650836,2650836,1,0,75090,geom
4343255,4343255,1,0,75090,geom
8823625,8823625,1,0,69908,geom
1184700,1184700,1,0,40335,geom
5442128,5442128,1,0,40335,geom
7027623,7027623,1,0,58205,geom
1534888,1534888,1,0,85705,geom
2777330,2777330,1,0,21603,geom
4617741,4617741,1,0,21603,geom
7024164,7024164,1,0,11012,geom
3054312,3054312,1,0,11012,geom
8405703,8405703,1,0,58767,geom
5778608,5778608,1,0,110924,geom
4832279,4832279,1,0,22454,geom
8540277,8540277,1,0,1712,geom
3010137,3010137,1,0,1712,geom
3855486,3855486,1,0,87985,geom
676966,676979,14,0,122251,geom
5590187,5590187,1,0,122251,geom
5025571,5025571,1,0,122251,geom
2684227,2684227,1,0,100197,geom
5939592,5939592,1,0,100197,geom
7876335,7876335,1,0,88709,geom
7935546,7935546,1,0,6713,geom
8762788,8762788,1,0,74591,geom
7841468,7841468,1,0,56008,geom
9890796,9890796,1,0,56008,geom
7085776,7085776,1,0,110672,geom
2432292,2432292,1,0,90639,geom
5740263,5740263,1,0,90639,geom
5581161,5581161,1,0,83221,geom
50823,50823,1,0,83221,geom
9324024,9324024,1,0,48383,geom
6178181,6178181,1,0,62366,geom
2779561,2779561,1,0,9929,geom
6314984,6314984,1,0,63927,geom
4259971,4259971,1,0,83811,geom
1177208,1177208,1,0,42599,geom
2266569,2266569,1,0,16481,geom
20961,20961,1,0,71774,geom
6117157,6117157,1,0,21901,geom
2625858,2625858,1,0,120094,geom
4243407,4243407,1,0,18841,geom
804210,804210,1,0,120448,geom
1604227,1604227,1,0,120448,geom
2462092,2462092,1,0,120448,geom
8643442,8643442,1,0,114038,geom
2315628,2315628,1,0,107714,geom
4329440,4329440,1,0,57834,geom
1578743,1578743,1,0,57834,geom
3721998,3721998,1,0,115552,geom
5752052,5752052,1,0,2643,geom
1434435,1434435,1,0,2643,geom
680046,680046,1,0,25240,geom
6572334,6572334,1,0,25240,geom
6407372,6407372,1,0,114034,geom
9894003,9894003,1,0,57308,geom
530238,530238,1,0,57308,geom
2963169,2963169,1,0,96884,geom
9158139,9158139,1,0,38527,geom
2605583,2605583,1,0,43927,geom
7874399,7874399,1,0,43927,geom
6994101,6994101,1,0,13082,geom
5026879,5026879,1,0,62068,geom
5480027,5480027,1,0,108304,geom
8898780,8898780,1,0,80711,geom
9274412,9274412,1,0,61505,geom
353201,353201,1,0,61505,geom
2164436,2164436,1,0,75838,geom
7806486,7806486,1,0,54697,geom
2041818,2041818,1,0,65489,geom
2450470,2450470,1,0,15514,geom
4100595,4100595,1,0,15514,geom
1895370,1895370,1,0,95777,geom
1161407,1161407,1,0,95777,geom
