model,w1,NLL,AIC,mean,phi1,phi2,bootstrap
mixture,0.3500000000000001,14359.017301227836,28724.03460245567,117.56738111453824,0.0033471240865889755,0.05,boot_1
mixture,0.32500000000000007,14359.042920788172,28724.085841576343,111.71515962071106,0.0033365751398904252,0.047170172817292515,boot_1
mixture,0.3750000000000001,14359.048035693613,28724.096071387226,125.29523213126842,0.003346959321701073,0.0471582904331539,boot_1
mixture,0.40000000000000013,14359.073059280025,28724.14611856005,132.0910672340795,0.0033510250139743274,0.047152739835970084,boot_1
mixture,0.3000000000000001,14359.078459552988,28724.156919105975,104.91920547934843,0.0033303262745390163,0.047176355029911465,boot_1
mixture,0.42500000000000016,14359.106662643,28724.213325286,138.88403807471062,0.0033546843764087854,0.04714846999911559,boot_1
mixture,0.4500000000000001,14359.145866915496,28724.291733830993,145.67805183374708,0.003357911933198314,0.047144747189790524,boot_1
mixture,0.2750000000000001,14359.156590568102,28724.313181136204,98.12725834726704,0.003322770946265527,0.04718513567964845,boot_1
mixture,0.25000000000000006,14359.166368634185,28724.33273726837,90.2608736810879,0.003321779136651477,0.05,boot_1
mixture,0.47500000000000014,14359.188584480013,28724.377168960025,152.4721649875047,0.0033607982419398513,0.047141455630852466,boot_1
mixture,0.5000000000000001,14359.23334351382,28724.46668702764,159.26608587515733,0.047138537841677784,0.0033634009395448663,boot_1
mixture,0.22500000000000006,14359.349517279461,28724.699034558922,83.43681128497015,0.0033119010996292882,0.05,boot_1
mixture,0.20000000000000007,14359.666130074762,28725.332260149524,76.61405640363434,0.003299564686253341,0.05,boot_1
mixture,0.17500000000000004,14359.77155380982,28725.54310761964,247.62078932689437,0.04711803784950124,0.0033824407317296313,boot_1
mixture,0.15000000000000002,14359.804915719555,28725.60983143911,254.42612917716028,0.04711325852610002,0.0033831880987987575,boot_1
mixture,0.12500000000000003,14359.83715353598,28725.67430707196,261.2203765014146,0.04711547809214728,0.0033840316640581813,boot_1
mixture,0.10000000000000002,14359.982445349797,28725.964890699594,295.2030657308713,0.003387502032408109,0.003387498324465876,boot_1
mixture,0.07500000000000001,14359.98244534984,28725.96489069968,295.20308507668125,0.0033875011284407127,0.0033874982579792895,boot_1
mixture,0.05,14359.982445349908,28725.964890699815,295.2031039293652,0.0033875001325383014,0.0033874981582100857,boot_1
mixture,0.025,14359.982445349944,28725.96489069989,295.2031170825061,0.0033874990856579946,0.0033874980808726307,boot_1
mixture,0.02,14359.982445349986,28725.964890699972,295.2031250304305,0.0033874988129154685,0.0033874979985003893,boot_1
mixture,0.01,14359.982445350008,28725.964890700016,295.20313173150925,0.003387498346840353,0.0033874979337620713,boot_1
mixture,0.015,14359.982445350035,28725.96489070007,295.20313412567907,0.00338749852047308,0.003387497901129258,boot_1
mixture,0.005,14359.98244535004,28725.96489070008,295.2031375577781,0.0033874980715602535,0.003387497870027929,boot_1
null,,14359.982445351683,28721.964890703366,295.2033823820957,0.003387495061644154,,boot_1
sum,,14365.814972107875,28733.62994421575,428.4865064395534,0.004667591557593518,,boot_1
mixture,0.3500000000000001,14367.433485299796,28740.866970599593,118.03429827980766,0.0033322448546056114,0.05,boot_2
mixture,0.3750000000000001,14367.442611131963,28740.885222263925,125.79192815032918,0.0033320741340483045,0.047171897157498734,boot_2
mixture,0.40000000000000013,14367.45761076857,28740.91522153714,132.6192427297785,0.0033361546499235803,0.04716712578483147,boot_2
mixture,0.32500000000000007,14367.459324021254,28740.91864804251,112.13741640092681,0.003322038540063553,0.04718326252605056,boot_2
mixture,0.42500000000000016,14367.481771564642,28740.963543129285,139.44462039531433,0.0033398152004011877,0.047161800280385226,boot_2
mixture,0.3000000000000001,14367.506583663837,28741.013167327674,105.31072345867562,0.0033157518092191266,0.04719046433397055,boot_2
mixture,0.4500000000000001,14367.512094903752,28741.024189807504,146.27185611931705,0.003343018424229417,0.04715781592375366,boot_2
mixture,0.47500000000000014,14367.546462215829,28741.092924431658,153.09808596874342,0.0033459084733484445,0.047154335733008396,boot_2
mixture,0.5000000000000001,14367.583380565015,28741.16676113003,159.93226371807464,0.04715331472670309,0.003348321417652883,boot_2
mixture,0.2750000000000001,14367.59686386866,28741.19372773732,98.48444865349025,0.0033083115094198518,0.04719906239114849,boot_2
mixture,0.25000000000000006,14367.639216099007,28741.278432198014,90.5913497394565,0.003307256727941547,0.05,boot_2
