,model,w1,NLL,AIC,mean,phi1,phi2
14,mixture,0.2750000000000001,14706.590416210638,29419.180832421276,287.10422914699456,0.003483061444752745,0.003483053416111143
17,mixture,0.3500000000000001,14706.590416210656,29419.180832421313,287.1042131645268,0.0034830603388566785,0.003483053383509777
12,mixture,0.22500000000000006,14706.590416210667,29419.180832421334,287.10424806684784,0.0034830612976865186,0.003483053680616526
10,mixture,0.17500000000000004,14706.590416210667,29419.180832421334,287.104218728691,0.003483061051811141,0.003483054625830483
11,mixture,0.20000000000000007,14706.59041621067,29419.18083242134,287.10421547771773,0.0034830613920092067,0.0034830543892694467
13,mixture,0.25000000000000006,14706.590416210673,29419.180832421345,287.10423808144674,0.00348306155249233,0.003483053503299225
16,mixture,0.32500000000000007,14706.590416210678,29419.180832421356,287.1042190784526,0.0034830609297424593,0.0034830532503253436
20,mixture,0.42500000000000016,14706.590416210684,29419.180832421367,287.1042046488888,0.0034830582746388293,0.003483054181681192
15,mixture,0.3000000000000001,14706.590416210685,29419.18083242137,287.1042233402097,0.003483061147143541,0.0034830533575578946
18,mixture,0.3750000000000001,14706.590416210689,29419.180832421378,287.104208984622,0.003483059731923453,0.0034830535505897095
8,mixture,0.12500000000000003,14706.590416210693,29419.180832421385,287.1042477259485,0.003483059798807414,0.003483054769988477
7,mixture,0.10000000000000002,14706.5904162107,29419.1808324214,287.1042617847653,0.0034830589567594883,0.0034830548137306195
22,mixture,0.47500000000000014,14706.590416210702,29419.180832421403,287.1041994027487,0.0034830566713297943,0.0034830553637142277
19,mixture,0.40000000000000013,14706.590416210704,29419.180832421407,287.10420510641364,0.0034830590443659585,0.003483053829819931
9,mixture,0.15000000000000002,14706.590416210716,29419.180832421433,287.1042670107369,0.0034830601954236335,0.0034830542768482576
21,mixture,0.4500000000000001,14706.590416210718,29419.180832421436,287.1042018521881,0.0034830574369828235,0.0034830547426798752
6,mixture,0.07500000000000001,14706.590416210722,29419.180832421443,287.10428354926836,0.0034830579162629573,0.003483054724620232
23,mixture,0.5000000000000001,14706.59041621075,29419.1808324215,287.1042008833298,0.003483055966869565,0.003483055966869565
5,mixture,0.05,14706.590416210762,29419.180832421524,287.1042988681095,0.0034830568258666186,0.0034830546703756016
3,mixture,0.02,14706.590416210802,29419.180832421604,287.1043235319722,0.0034830553571607507,0.0034830544610133123
4,mixture,0.025,14706.590416210805,29419.18083242161,287.1043278961853,0.003483055527971941,0.003483054397735161
2,mixture,0.015,14706.59041621082,29419.18083242164,287.1043277560369,0.0034830550793072596,0.0034830544177682217
1,mixture,0.01,14706.590416210825,29419.18083242165,287.10433532498735,0.0034830547849571424,0.003483054331331052
0,mixture,0.005,14706.590416210853,29419.180832421705,287.10434186289785,0.0034830544814261756,0.0034830542554215344
