obs_start,obs_end,length,iteration,distribution
9413107,9413150,44,0,mixture
1243440,1243440,1,0,mixture
7786468,7786468,1,0,mixture
7481967,7481967,1,0,mixture
6573357,6573357,1,0,mixture
8906213,8906213,1,0,mixture
2620333,2620333,1,0,mixture
7775912,7775912,1,0,mixture
8326341,8326341,1,0,mixture
7843109,7843109,1,0,mixture
7812768,7812768,1,0,mixture
9264695,9264695,1,0,mixture
787436,787436,1,0,mixture
6299542,6299542,1,0,mixture
2002959,2002959,1,0,mixture
1594841,1594841,1,0,mixture
8420887,8420887,1,0,mixture
1553267,1553267,1,0,mixture
3545724,3545724,1,0,mixture
793733,793733,1,0,mixture
565690,565690,1,0,mixture
5300994,5300994,1,0,mixture
4389827,4389827,1,0,mixture
263232,263232,1,0,mixture
8648978,8648978,1,0,mixture
2887262,2887629,368,0,mixture
7940790,7940790,1,0,mixture
5801779,5802225,447,0,mixture
7230476,7230476,1,0,mixture
9175914,9175914,1,0,mixture
1455559,1455559,1,0,mixture
1782931,1782931,1,0,mixture
5067453,5067461,9,0,mixture
9146851,9146851,1,0,mixture
275979,275979,1,0,mixture
7099519,7099519,1,0,mixture
4046336,4046336,1,0,mixture
9912458,9912458,1,0,mixture
8095241,8095241,1,0,mixture
8111376,8111376,1,0,mixture
6328124,6328124,1,0,mixture
6799827,6801090,1264,0,mixture
6407310,6407310,1,0,mixture
4717714,4717714,1,0,mixture
761308,761308,1,0,mixture
3045999,3045999,1,0,mixture
4064,4064,1,0,mixture
3228571,3228571,1,0,mixture
6122712,6122712,1,0,mixture
4806247,4806431,185,0,mixture
7212932,7212932,1,0,mixture
9469574,9469574,1,0,mixture
6586285,6586285,1,0,mixture
7115297,7115297,1,0,mixture
5638888,5638888,1,0,mixture
7984155,7984155,1,0,mixture
9106296,9106296,1,0,mixture
3795053,3795053,1,0,mixture
704180,704180,1,0,mixture
9962137,9962137,1,0,mixture
2490869,2490869,1,0,mixture
3993076,3993076,1,0,mixture
9113134,9113134,1,0,mixture
3740171,3740171,1,0,mixture
1736251,1736251,1,0,mixture
707595,707595,1,0,mixture
7564301,7564301,1,0,mixture
7236970,7236970,1,0,mixture
5203230,5203230,1,0,mixture
6201626,6201626,1,0,mixture
6972992,6972992,1,0,mixture
428084,428084,1,0,mixture
3374244,3374244,1,0,mixture
4187177,4187177,1,0,mixture
6478255,6478255,1,0,mixture
388138,388138,1,0,mixture
6912620,6912620,1,0,mixture
7326881,7326881,1,0,mixture
6484149,6484149,1,0,mixture
5900861,5900861,1,0,mixture
7103592,7103592,1,0,mixture
1605518,1605518,1,0,mixture
4661342,4661342,1,0,mixture
6688264,6688264,1,0,mixture
3657994,3657994,1,0,mixture
