obs_start,obs_end,length,iteration,distribution
2441000,2441000,1,0,geom2
3741509,3741509,1,0,geom2
7960975,7960975,1,0,geom2
7786468,7786468,1,0,geom2
6431905,6431905,1,0,geom2
5055770,5055770,1,0,geom2
1742281,1742281,1,0,geom2
7843109,7843109,1,0,geom2
787436,787436,1,0,geom2
9813760,9813760,1,0,geom2
5533740,5533740,1,0,geom2
5759264,5759264,1,0,geom2
7235251,7235251,1,0,geom2
3806539,3806539,1,0,geom2
7812768,7812768,1,0,geom2
3159249,3159249,1,0,geom2
6587187,6587187,1,0,geom2
1392000,1392000,1,0,geom2
1047749,1047749,1,0,geom2
501004,501004,1,0,geom2
2887122,2887122,1,0,geom2
7940790,7940790,1,0,geom2
8105424,8105424,1,0,geom2
3603000,3603000,1,0,geom2
7099519,7099519,1,0,geom2
8828947,8828947,1,0,geom2
8420480,8420523,44,0,geom2
5730787,5730787,1,0,geom2
1655144,1655144,1,0,geom2
8095241,8095241,1,0,geom2
3606117,3606117,1,0,geom2
6407372,6407372,1,0,geom2
2611124,2611124,1,0,geom2
761308,761308,1,0,geom2
7099077,7099077,1,0,geom2
8022117,8022117,1,0,geom2
1231782,1231782,1,0,geom2
8532696,8532696,1,0,geom2
6937466,6937466,1,0,geom2
6902499,6902499,1,0,geom2
3324420,3324420,1,0,geom2
1434435,1434435,1,0,geom2
7755016,7755016,1,0,geom2
1571923,1571923,1,0,geom2
1921209,1921209,1,0,geom2
3640385,3640385,1,0,geom2
7239133,7239133,1,0,geom2
9035431,9035431,1,0,geom2
5638888,5638888,1,0,geom2
9583569,9583569,1,0,geom2
3037472,3037521,50,0,geom2
6547292,6547292,1,0,geom2
7544535,7544535,1,0,geom2
3795053,3795070,18,0,geom2
4360657,4360676,20,0,geom2
8533083,8533083,1,0,geom2
3993076,3993076,1,0,geom2
4398791,4398791,1,0,geom2
521073,521073,1,0,geom2
176813,176813,1,0,geom2
3414268,3414290,23,0,geom2
3009029,3009029,1,0,geom2
6043358,6043358,1,0,geom2
707595,707595,1,0,geom2
7316501,7316501,1,0,geom2
9892520,9892520,1,0,geom2
3374244,3374244,1,0,geom2
1860617,1860617,1,0,geom2
3504032,3504032,1,0,geom2
1180136,1180136,1,0,geom2
8662543,8662543,1,0,geom2
7980547,7980581,35,0,geom2
5163551,5163551,1,0,geom2
8025836,8025836,1,0,geom2
6938535,6938535,1,0,geom2
6163080,6163080,1,0,geom2
4196965,4196993,29,0,geom2
5025443,5025443,1,0,geom2
4329711,4329711,1,0,geom2
2015727,2015727,1,0,geom2
9257950,9257950,1,0,geom2
6657504,6657504,1,0,geom2
2765580,2765580,1,0,geom2
7885445,7885445,1,0,geom2
2589327,2589327,1,0,geom2
6151203,6151203,1,0,geom2
6124513,6124513,1,0,geom2
5939385,5939385,1,0,geom2
3892017,3892017,1,0,geom2
7986040,7986040,1,0,geom2
8836288,8836288,1,0,geom2
4187358,4187358,1,0,geom2
1453605,1453605,1,0,geom2
4755099,4755099,1,0,geom2
1160439,1160439,1,0,geom2
3595307,3595307,1,0,geom2
8308244,8308244,1,0,geom2
7082319,7082319,1,0,geom2
1873613,1873613,1,0,geom2
2614852,2614852,1,0,geom2
8278570,8278570,1,0,geom2
8718936,8718936,1,0,geom2
3300880,3300880,1,0,geom2
1443023,1443063,41,0,geom2
572707,572707,1,0,geom2
6562728,6562728,1,0,geom2
8162509,8162509,1,0,geom2
265357,265357,1,0,geom2
8967932,8967932,1,0,geom2
5247371,5247371,1,0,geom2
2528825,2528825,1,0,geom2
7317505,7317505,1,0,geom2
6627300,6627300,1,0,geom2
3111534,3111534,1,0,geom2
4466286,4466286,1,0,geom2
1792210,1792210,1,0,geom2
8059541,8059541,1,0,geom2
2879034,2879034,1,0,geom2
8494653,8494653,1,0,geom2
4938618,4938618,1,0,geom2
3601304,3601304,1,0,geom2
1100859,1100859,1,0,geom2
1396826,1396872,47,0,geom2
256111,256111,1,0,geom2
4945920,4945920,1,0,geom2
7738916,7738916,1,0,geom2
9959841,9959841,1,0,geom2
1684372,1684372,1,0,geom2
6579343,6579343,1,0,geom2
6614913,6614913,1,0,geom2
3248716,3248716,1,0,geom2
2408930,2408930,1,0,geom2
7380012,7380012,1,0,geom2
9986256,9986291,36,0,geom2
8397764,8397764,1,0,geom2
8885187,8885187,1,0,geom2
4937067,4937067,1,0,geom2
3912873,3912873,1,0,geom2
1505021,1505021,1,0,geom2
2854860,2854860,1,0,geom2
5050865,5050865,1,0,geom2
6770776,6770776,1,0,geom2
7056209,7056209,1,0,geom2
3657780,3657780,1,0,geom2
8784068,8784117,50,0,geom2
5877777,5877777,1,0,geom2
5909245,5909245,1,0,geom2
6030536,6030536,1,0,geom2
5983902,5983902,1,0,geom2
7117563,7117563,1,0,geom2
6451452,6451452,1,0,geom2
7699456,7699456,1,0,geom2
3834784,3834784,1,0,geom2
6980273,6980273,1,0,geom2
813814,813814,1,0,geom2
1183441,1183441,1,0,geom2
5249,5249,1,0,geom2
556908,556908,1,0,geom2
4717714,4717714,1,0,geom2
2661185,2661185,1,0,geom2
8106896,8106896,1,0,geom2
3709281,3709281,1,0,geom2
997432,997432,1,0,geom2
555804,555804,1,0,geom2
9569918,9569918,1,0,geom2
630539,630539,1,0,geom2
2020302,2020302,1,0,geom2
3117560,3117560,1,0,geom2
9986178,9986256,79,0,geom2
3511655,3511655,1,0,geom2
3366448,3366448,1,0,geom2
1142576,1142576,1,0,geom2
8626236,8626236,1,0,geom2
6824657,6824657,1,0,geom2
3787364,3787364,1,0,geom2
1523936,1523936,1,0,geom2
1531746,1531746,1,0,geom2
7917428,7917428,1,0,geom2
6501138,6501138,1,0,geom2
1161407,1161407,1,0,geom2
502767,502767,1,0,geom2
6318273,6318273,1,0,geom2
4255794,4255794,1,0,geom2
7980547,7980581,35,0,geom2
1010326,1010326,1,0,geom2
8823625,8823625,1,0,geom2
999815,999815,1,0,geom2
555804,555804,1,0,geom2
9040897,9040897,1,0,geom2
7455401,7455401,1,0,geom2
4934236,4934236,1,0,geom2
8488877,8488877,1,0,geom2
3677280,3677280,1,0,geom2
1345768,1345768,1,0,geom2
467105,467105,1,0,geom2
8225823,8225983,161,0,geom2
8572600,8572600,1,0,geom2
9630713,9630713,1,0,geom2
2063879,2063879,1,0,geom2
4852635,4852635,1,0,geom2
1504374,1504374,1,0,geom2
8815572,8815572,1,0,geom2
633022,633022,1,0,geom2
2860008,2860008,1,0,geom2
2981007,2981007,1,0,geom2
1008352,1008352,1,0,geom2
8307816,8307816,1,0,geom2
5273640,5273640,1,0,geom2
3513513,3513513,1,0,geom2
5536123,5536123,1,0,geom2
9456674,9456674,1,0,geom2
9457194,9457194,1,0,geom2
5993790,5993790,1,0,geom2
4260392,4260392,1,0,geom2
9312978,9312978,1,0,geom2
3378110,3378110,1,0,geom2
4377389,4377389,1,0,geom2
2243796,2243796,1,0,geom2
9129691,9129691,1,0,geom2
4870492,4870492,1,0,geom2
2725155,2725155,1,0,geom2
6940460,6940460,1,0,geom2
4419480,4419480,1,0,geom2
388264,388264,1,0,geom2
6914067,6914067,1,0,geom2
1745295,1745295,1,0,geom2
915362,915362,1,0,geom2
5088610,5088610,1,0,geom2
7739544,7739544,1,0,geom2
6427751,6427751,1,0,geom2
7782990,7782990,1,0,geom2
5298700,5298700,1,0,geom2
7691048,7691113,66,0,geom2
1649224,1649224,1,0,geom2
9890796,9890796,1,0,geom2
4268927,4268927,1,0,geom2
1403435,1403435,1,0,geom2
5912587,5912587,1,0,geom2
6380748,6380748,1,0,geom2
2752770,2752770,1,0,geom2
5577896,5577896,1,0,geom2
9772687,9772687,1,0,geom2
7938498,7938498,1,0,geom2
2344275,2344275,1,0,geom2
3848556,3848556,1,0,geom2
5130839,5130839,1,0,geom2
1241789,1241789,1,0,geom2
6581630,6581672,43,0,geom2
3450879,3450879,1,0,geom2
1568383,1568383,1,0,geom2
2715527,2715527,1,0,geom2
6324222,6324222,1,0,geom2
1931202,1931202,1,0,geom2
6009605,6009605,1,0,geom2
5982613,5982613,1,0,geom2
6542229,6542229,1,0,geom2
7993970,7993997,28,0,geom2
9014327,9014327,1,0,geom2
8130864,8130864,1,0,geom2
9002522,9002522,1,0,geom2
8727959,8727989,31,0,geom2
7027623,7027623,1,0,geom2
8752268,8752268,1,0,geom2
222187,222187,1,0,geom2
1443023,1443334,312,0,geom2
6628119,6628223,105,0,geom2
4386995,4386995,1,0,geom2
4531105,4531105,1,0,geom2
1320485,1320485,1,0,geom2
1435101,1435101,1,0,geom2
2202741,2202741,1,0,geom2
7153492,7153492,1,0,geom2
6550064,6550064,1,0,geom2
3948537,3948537,1,0,geom2
80470,80470,1,0,geom2
2647626,2647626,1,0,geom2
4955256,4955256,1,0,geom2
7249307,7249307,1,0,geom2
3657961,3657994,34,0,geom2
1753064,1753064,1,0,geom2
5625902,5625902,1,0,geom2
191805,191805,1,0,geom2
9684614,9684614,1,0,geom2
2088483,2088483,1,0,geom2
6995982,6995982,1,0,geom2
1504374,1504374,1,0,geom2
3787364,3787364,1,0,geom2
1914818,1914895,78,0,geom2
6743539,6743539,1,0,geom2
8071689,8071689,1,0,geom2
310041,310041,1,0,geom2
8403507,8403507,1,0,geom2
4278395,4278528,134,0,geom2
5704785,5704785,1,0,geom2
3879347,3879347,1,0,geom2
1769550,1769751,202,0,geom2
3525819,3525819,1,0,geom2
9674523,9674523,1,0,geom2
4372839,4372839,1,0,geom2
1113044,1113044,1,0,geom2
8984273,8984273,1,0,geom2
2672104,2672104,1,0,geom2
4487745,4487842,98,0,geom2
9702322,9702322,1,0,geom2
